bmse000458,bmse000458
bmse000460,bmse000460
bmse000461,bmse000461
bmse000462,bmse000462
bmse000463,bmse000463
bmse000464,bmse000464
bmse000465,bmse000465
bmse000466,bmse000466
bmse000468,bmse000468
bmse000469,bmse000469
bmse000474_1,bmse000474
bmse000474_2,bmse000474
bmse000475,bmse000475
bmse000479,bmse000479
bmse000483,bmse000483
bmse000571,bmse000571
bmse000572,bmse000572
bmse000573,bmse000573
bmse000575,bmse000575
bmse000578,bmse000578
bmse000579,bmse000579
bmse000588_1,bmse000588
bmse000588_2,bmse000588
bmse000594,bmse000594
bmse000596,bmse000596
bmse000615,bmse000615
bmse000616,bmse000616
bmse000617,bmse000617
bmse000618,bmse000618
bmse000619,bmse000619
bmse000620,bmse000620
bmse000621,bmse000621
bmse000622,bmse000622
bmse000623,bmse000623
bmse000624,bmse000624
bmse000629,bmse000629
bmse000630,bmse000630
bmse000631,bmse000631
bmse000632,bmse000632
bmse000653,bmse000653
bmse000655,bmse000655
bmse000659,bmse000659
bmse000660,bmse000660
bmse000699,bmse000699
bmse000703,bmse000703
bmse000705,bmse000705
bmse000706,bmse000706
bmse000707,bmse000707
bmse000708,bmse000708
bmse000712,bmse000712
bmse000713_1,bmse000713
bmse000713_2,bmse000713
bmse000714,bmse000714
bmse000719,bmse000719
bmse000723,bmse000723
bmse000726,bmse000726
bmse000727,bmse000727
bmse000728,bmse000728
bmse000730,bmse000730
bmse000731,bmse000731
bmse000738,bmse000738
bmse000740,bmse000740
bmse000741,bmse000741
bmse000742,bmse000742
bmse000743,bmse000743
bmse000744,bmse000744
bmse000745,bmse000745
bmse000746,bmse000746
bmse000757,bmse000757
bmse000759,bmse000759
bmse000762,bmse000762
bmse000766,bmse000766
bmse000768,bmse000768
bmse000773,bmse000773
bmse000774_1,bmse000774
bmse000774_2,bmse000774
bmse000776,bmse000776
bmse000780,bmse000780
bmse000781,bmse000781
bmse000787,bmse000787
bmse000788,bmse000788
bmse000794,bmse000794
bmse000795,bmse000795
bmse000825,bmse000825
bmse000826,bmse000826
bmse000828,bmse000828
bmse000829,bmse000829
bmse000831,bmse000831
bmse000854,bmse000854
bmse000879,bmse000879
bmse000942,bmse000942
bmse000983,bmse000983
